,count
1757,15
1758,18
1759,22
1760,25
1761,28
1762,31
1763,33
1764,34
1765,35
1766,37
1767,38
1768,39
1769,37
1770,34
1771,31
1772,28
1773,26
1774,24
1775,24
1776,25
1777,26
1778,25
1779,23
1780,21
1781,20
1782,21
1783,25
1784,31
1785,35
1786,37
1787,38
1788,38
1789,37
1790,36
1791,34
1792,32
1793,30
1794,28
1795,26
1796,24
1797,21
1798,18
1799,16
1800,15
1801,14
1802,14
1803,13
1804,13
1805,12
1806,13
1807,15
1808,19
1809,24
1810,28
1811,32
1812,34
1813,34
1814,35
1815,34
1816,34
1817,34
1818,33
1819,33
1820,32
1821,32
1822,32
1823,32
1824,31
1825,31
1826,30
1827,28
1828,27
1829,26
1830,26
1831,27
1832,28
1833,28
1834,28
1835,28
1836,29
1837,31
1838,34
1839,35
1840,34
1841,32
1842,28
1843,25
1844,23
1845,21
1846,20
1847,19
1848,17
1849,16
1850,14
1851,13
1852,13
1853,15
1854,18
1855,24
1856,30
1857,35
1858,40
1859,42
1860,44
1861,46
1862,47
1863,47
1864,46
1865,45
1866,43
1867,40
1868,36
1869,31
1870,26
1871,22
1872,19
1873,17
1874,15
1875,14
1876,13
1877,13
1878,14
1879,17
1880,20
1881,25
1882,31
1883,36
1884,39
1885,41
1886,42
1887,42
1888,42
1889,39
1890,35
1891,29
1892,24
1893,20
1894,18
1895,17
1896,16
1897,16
1898,16
1899,15
1900,14
1901,13
1902,14
1903,17
1904,22
1905,27
1906,30
1907,33
1908,36
1909,38
1910,38
1911,36
1912,31
1913,26
1914,23
1915,20
1916,19
1917,18
1918,16
1919,14
1920,13
1921,11
1922,10
1923,10
1924,11
1925,13
1926,17
1927,22
1928,27
1929,32
1930,34
1931,34
1932,33
1933,32
1934,32
1935,32
1936,33
1937,33
1938,31
1939,28
1940,25
1941,22
1942,20
1943,19
1944,18
1945,17
1946,15
1947,14
1948,14
1949,15
1950,17
1951,20
1952,23
1953,26
1954,29
1955,31
1956,32
1957,31
1958,31
1959,31
1960,32
1961,33
1962,33
1963,32
1964,29
1965,27
1966,25
1967,23
1968,22
1969,21
1970,19
1971,16
1972,14
1973,13
1974,15
1975,18
1976,22
1977,28
1978,34
1979,38
1980,39
1981,39
1982,37
1983,37
1984,37
1985,38
1986,38
1987,37
1988,37
1989,36
1990,36
1991,34
1992,32
1993,29
1994,26
1995,24
1996,22
1997,21
1998,21
1999,21
2000,21
2001,22
2002,23
2003,25
2004,26
2005,27
2006,28
2007,30
2008,31
2009,30
2010,28
2011,25
2012,22
2013,19
2014,17
2015,15
2016,13
2017,11
2018,11
2019,11
2020,13
2021,16
2022,20
2023,25
2024,29
2025,31
2026,33
2027,34
2028,34
2029,34
2030,33
2031,31
2032,29
2033,28
2034,28
2035,28
2036,28
2037,26
2038,23
2039,19
2040,15
2041,12
2042,10
2043,9
2044,8
2045,9
2046,12
2047,16
2048,21
2049,25
2050,29
2051,33
2052,35
2053,35
2054,34
2055,32
2056,31
2057,30
2058,31
2059,31
2060,31
2061,29
2062,26
2063,22
2064,18
2065,14
2066,11
2067,10
2068,10
2069,12
2070,13
2071,16
2072,19
2073,23
2074,26
2075,30
2076,32
2077,34
2078,34
2079,32
2080,30
2081,28
2082,27
2083,26
2084,24
2085,21
2086,18
2087,16
2088,14
2089,13
2090,12
2091,11
2092,12
2093,14
2094,17
2095,20
2096,23
2097,25
2098,27
2099,27
2100,27
2101,28
2102,29
2103,31
2104,33
2105,34
2106,33
2107,32
2108,30
2109,28
2110,26
2111,24
2112,20
2113,18
2114,15
2115,14
2116,12
2117,12
2118,13
2119,17
2120,23
2121,30
2122,36
2123,40
2124,41
2125,40
2126,39
2127,37
2128,36
2129,35
2130,34
2131,33
2132,32
2133,32
2134,31
2135,30
2136,29
2137,27
2138,25
2139,22
2140,19
2141,19
2142,20
2143,24
